Rodada,Mandante,Visitante,Prob_Vit_Mandante,Prob_Empate,Prob_Vit_Visitante
31,Grêmio,Atlético-GO,0.28869456652698255,0.3367248269300384,0.374580606542979
31,Atlético-MG,Internacional,0.2730773937491278,0.34181533860906793,0.3851072676418043
31,Vitória,Fluminense,0.5356876772274132,0.23263790607223767,0.23167441670034924
31,Flamengo,Juventude,0.42521156511221503,0.32992123960139136,0.24486719528639359
31,Vasco,Bahia,0.533508318454806,0.20972885057168558,0.25676283097350844
31,Palmeiras,Fortaleza,0.3132665344009174,0.4673622505700078,0.2193712150290747
31,Bragantino,Botafogo,0.19468651356121858,0.4489792978442601,0.3563341885945213
31,Athletico-PR,Cruzeiro,0.29208476765110986,0.3930611418427769,0.3148540905061132
31,Cuiabá,Corinthians,0.3492480620619466,0.39870295832805924,0.2520489796099942
31,Criciúma,São Paulo,0.38980197078804535,0.37241754330838883,0.23778048590356576
32,Internacional,Criciúma,0.4369641428545494,0.3275434869425417,0.23549237020290892
32,Cruzeiro,Flamengo,0.2060320819948287,0.39342479087417326,0.400543127130998
32,Bahia,São Paulo,0.4166131017625503,0.27752178339342504,0.3058651148440246
32,Fluminense,Grêmio,0.3326176699100543,0.3006018682335461,0.3667804618563997
32,Botafogo,Vasco,0.47644939085501153,0.3332309181849439,0.19031969096004456
32,Corinthians,Palmeiras,0.20854870004758608,0.47006574840427695,0.3213855515481369
32,Bragantino,Cuiabá,0.41174723591694645,0.3130258566722303,0.27522690741082334
32,Athletico-PR,Vitória,0.23455637791922926,0.437843236028658,0.3276003860521126
32,Atlético-GO,Atlético-MG,0.3116325269775184,0.3460086696546958,0.34235880336778574
32,Juventude,Fortaleza,0.44480511554982527,0.3260898186968043,0.2291050657533704
33,Internacional,Fluminense,0.710378467621851,0.162231727770719,0.12738980460743
33,Cruzeiro,Criciúma,0.2792842821968857,0.38546905368108136,0.33524666412203297
33,Vitória,Corinthians,0.3584805937353346,0.3888810533099457,0.25263835295471976
33,Flamengo,Atlético-MG,0.3825655481639286,0.33117590126001056,0.28625855057606087
33,Botafogo,Cuiabá,0.486656734967048,0.2908050451754314,0.2225382198575206
33,Palmeiras,Grêmio,0.21388261157263358,0.5007855327635485,0.28533185566381786
33,São Paulo,Athletico-PR,0.30922547816067547,0.36442847382967314,0.32634604800965145
33,Fortaleza,Vasco,0.40552512800780277,0.3569782618732267,0.2374966101189704
33,Atlético-GO,Bragantino,0.21678652862602893,0.39260202744265266,0.3906114439313184
33,Juventude,Bahia,0.5383677809596836,0.21271517086875597,0.24891704817156046
34,Grêmio,Juventude,0.39428193687263535,0.32497668850753997,0.28074137461982474
34,Atlético-MG,Botafogo,0.16939878763001315,0.3762476811287603,0.4543535312412266
34,Bahia,Palmeiras,0.17199776097869587,0.42227894851167735,0.40572329050962663
34,Fluminense,Fortaleza,0.4641057466497138,0.2672554911512718,0.26863876219901445
34,Vasco,Internacional,0.35816207008342427,0.3510502522500659,0.29078767766650976
34,Corinthians,Cruzeiro,0.41496526365863134,0.31880537887996935,0.26622935746139936
34,Bragantino,São Paulo,0.4240967041643058,0.31814257154003106,0.2577607242956631
34,Athletico-PR,Atlético-GO,0.22214667034868643,0.437060905450849,0.3407924242004646
34,Cuiabá,Flamengo,0.19116970499362926,0.3967466102548783,0.41208368475149243
34,Criciúma,Vitória,0.26866609610851594,0.4472953890621257,0.28403851482935843
35,Internacional,Bragantino,0.3798874479931603,0.3731119256746518,0.24700062633218797
35,Cruzeiro,Grêmio,0.2600742127885235,0.40293078494680745,0.3369950022646691
35,Bahia,Athletico-PR,0.29655456604139036,0.36773735528982876,0.33570807866878083
35,Fluminense,Criciúma,0.3537762323158262,0.28482944036018704,0.36139432732398674
35,Botafogo,Vitória,0.36388520048894335,0.37389221026953506,0.26222258924152164
35,Corinthians,Vasco,0.4574159204625758,0.33181182405047027,0.21077225548695405
35,São Paulo,Atlético-MG,0.35139272840971497,0.32213914086597234,0.32646813072431263
35,Fortaleza,Flamengo,0.21401108789873163,0.39609547373940035,0.38989343836186807
35,Atlético-GO,Palmeiras,0.15560730327159406,0.43974811566797317,0.40464458106043266
35,Juventude,Cuiabá,0.4721418110127872,0.2720704592554366,0.25578772973177627
36,Grêmio,São Paulo,0.4316594847858859,0.27412686893207333,0.2942136462820408
36,Atlético-MG,Juventude,0.3486568296633997,0.32693631422728875,0.3244068561093116
36,Vitória,Fortaleza,0.3628456392926088,0.3699315417860452,0.267222818921346
36,Flamengo,Internacional,0.34381289889831995,0.356096894302953,0.30009020679872694
36,Vasco,Atlético-GO,0.331656235973955,0.3446102996732893,0.3237334643527558
36,Palmeiras,Botafogo,0.15211108206604795,0.5411066539608199,0.30678226397313213
36,Bragantino,Cruzeiro,0.3629254057471347,0.34201843939717635,0.2950561548556889
36,Athletico-PR,Fluminense,0.48005027995669264,0.2824120398507226,0.2375376801925847
36,Cuiabá,Bahia,0.44341258194614835,0.25640336658848245,0.3001840514653691
36,Criciúma,Corinthians,0.3423475202228194,0.44870006764519654,0.20895241213198415
37,Internacional,Botafogo,0.31666882801737994,0.4048222178921309,0.27850895409048915
37,Cruzeiro,Palmeiras,0.1691453060449144,0.47732892862034637,0.3535257653347392
37,Vitória,Grêmio,0.249808303659695,0.3997081394023608,0.3504835569379442
37,Fluminense,Cuiabá,0.48509182689190294,0.219571066222974,0.29533710688512316
37,Vasco,Atlético-MG,0.39757816386473704,0.3257009846349149,0.276720851500348
37,Corinthians,Bahia,0.5332954977526531,0.2266259613796631,0.24007854086768388
37,São Paulo,Juventude,0.39421214541076666,0.32391649465265526,0.2818713599365782
37,Athletico-PR,Bragantino,0.1878226500658945,0.475206777761254,0.33697057217285153
37,Atlético-GO,Fortaleza,0.35275435506141684,0.3487266031908267,0.2985190417477564
37,Criciúma,Flamengo,0.19209608575681372,0.4577055366545945,0.35019837758859185
38,Grêmio,Corinthians,0.3916703795941622,0.34121954118753306,0.26711007921830476
38,Atlético-MG,Athletico-PR,0.2689433738821045,0.3617094066812002,0.3693472194366953
38,Bahia,Atlético-GO,0.2761622774982734,0.33787395875551485,0.3859637637462118
38,Flamengo,Vitória,0.3336510818479951,0.34758273054791095,0.3187661876040941
38,Botafogo,São Paulo,0.4986464241662017,0.29402162747958777,0.20733194835421043
38,Palmeiras,Fluminense,0.4885875059557364,0.3104926722344157,0.2009198218098479
38,Bragantino,Criciúma,0.2878697730973438,0.389269750408936,0.3228604764937202
38,Fortaleza,Internacional,0.3075996952661494,0.3954975327186785,0.2969027720151721
38,Cuiabá,Vasco,0.3731306900605772,0.3683117056980493,0.25855760424137353
38,Juventude,Cruzeiro,0.42136480212576,0.3009884376243863,0.27764676024985363
